sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
852,failed,33,23982.5,25000.0,1017.5,5,5
853,passed,110,26503.0,26503.0,790.5,6,7
854,failed,20,23984.5,25069.0,1084.5,3,4
855,passed,30,26728.5,26728.5,214.25,9,2
856,failed,42,23805.25,25000.0,1194.75,6,4
857,failed,19,25194.25,26254.25,1060.0,5,5
858,passed,33,26829.0,26829.0,439.0,6,4
859,passed,34,26541.5,26541.5,385.75,3,4
860,failed,61,25308.75,26346.5,1037.75,4,4
861,failed,36,24001.5,25073.5,1072.0,2,6
862,passed,11,27098.5,27098.5,552.5,5,3
863,failed,37,24348.75,25385.0,1036.25,4,10
864,passed,5,26592.0,26592.0,217.0,3,1
865,passed,5,26556.25,26556.25,120.75,4,1
866,failed,30,24000.75,25116.75,1116.0,3,3
867,failed,33,23879.75,25011.25,1131.5,2,4
868,failed,32,24877.0,25987.5,1110.5,4,4
869,failed,17,25352.0,26442.0,1090.0,5,4
870,passed,82,26560.5,26560.5,747.0,5,5
871,failed,49,24905.75,25924.75,1019.0,7,6
872,failed,5,23906.25,25000.0,1093.75,0,5
873,failed,7,25116.75,26347.5,1230.75,2,2
874,failed,49,24508.25,25534.75,1026.5,4,5
875,failed,17,24610.5,25717.5,1107.0,2,3
876,failed,16,24028.0,25035.25,1007.25,2,8
877,passed,25,26587.25,26587.25,407.25,4,4
878,failed,15,24335.5,25599.75,1264.25,3,5
879,passed,13,26625.75,26625.75,236.5,11,2
880,passed,69,26601.75,26601.75,564.25,8,6
881,failed,10,23875.0,25000.0,1125.0,1,3
882,failed,35,24239.5,25326.25,1086.75,3,4
883,failed,58,24604.75,25703.0,1098.25,3,8
884,failed,87,25241.0,26330.5,1089.5,4,8
885,failed,4,23912.0,25000.0,1088.0,0,4
886,passed,52,26516.0,26516.0,846.75,5,6
887,failed,36,24531.0,25588.75,1057.75,4,7
888,passed,38,26513.5,26513.5,569.25,5,3
889,failed,39,24896.0,25936.0,1040.0,4,5
890,passed,65,26552.75,26552.75,653.75,6,9
891,failed,36,24438.25,25545.25,1107.0,3,9
892,passed,35,26501.25,26501.25,388.0,7,3
893,failed,7,24054.0,25119.5,1065.5,1,6
894,failed,12,23992.75,25000.0,1007.25,2,4
895,failed,23,23995.75,25071.0,1075.25,3,4
896,passed,31,26714.0,26714.0,202.5,4,3
897,failed,26,23917.25,25069.5,1152.25,3,4
898,failed,28,24110.25,25163.5,1053.25,4,6
899,failed,14,24790.5,25800.0,1009.5,3,4
900,failed,31,24880.5,25889.0,1008.5,3,6
901,failed,29,24765.5,25866.25,1100.75,4,5
