sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
1452,passed,35,26547.0,26547.0,759.5,3,2
1453,passed,80,26516.0,26516.0,719.5,6,4
1454,failed,42,25269.5,26282.0,1012.5,4,7
1455,failed,20,24159.5,25288.0,1128.5,1,3
1456,failed,9,25359.5,26489.5,1130.0,3,4
1457,passed,23,26503.5,26503.5,559.5,6,2
1458,failed,31,24589.0,25646.5,1057.5,3,5
1459,failed,14,24504.0,25653.0,1149.0,3,6
1460,failed,53,23985.0,25000.0,1015.0,3,5
1461,failed,29,24351.0,25576.5,1225.5,4,3
1462,failed,46,24739.5,25879.0,1139.5,2,8
1463,passed,17,27253.5,27253.5,623.0,4,3
1464,passed,28,26520.5,26520.5,764.5,4,3
1465,failed,44,25255.0,26286.5,1031.5,7,4
1466,passed,21,27537.0,27537.0,420.5,4,3
1467,passed,7,27718.0,27718.0,386.5,4,1
1468,passed,12,26755.5,26755.5,257.5,3,2
1469,passed,71,26531.0,26531.0,566.5,5,4
1470,passed,37,26536.5,26536.5,524.5,4,3
1471,passed,23,27110.5,27110.5,308.0,3,3
1472,failed,16,24630.5,25651.0,1020.5,3,3
1473,passed,12,26500.5,26500.5,853.0,3,1
1474,failed,29,25460.0,26489.5,1029.5,3,5
1475,passed,48,26588.5,26588.5,585.0,4,6
1476,failed,14,24009.5,25082.5,1073.0,2,6
1477,passed,134,27083.5,27083.5,975.5,3,4
1478,failed,41,23821.5,25081.5,1260.0,3,5
1479,failed,52,25340.5,26434.0,1093.5,6,9
1480,failed,38,24113.0,25176.0,1063.0,5,5
1481,failed,13,23883.0,25000.0,1117.0,1,3
1482,failed,37,25234.5,26242.5,1008.0,3,3
1483,passed,35,26696.0,26696.0,677.5,3,3
1484,failed,20,24531.5,25726.0,1194.5,3,7
1485,failed,19,24289.0,25391.0,1102.0,5,5
1486,failed,42,24396.0,25475.5,1079.5,3,4
1487,failed,63,25115.5,26197.5,1082.0,4,5
1488,failed,7,23973.5,25000.0,1026.5,1,5
1489,failed,72,24441.5,25568.0,1126.5,3,4
1490,failed,39,23896.0,25118.5,1222.5,2,5
1491,failed,50,24356.5,25371.5,1015.0,7,10
1492,passed,35,26565.5,26565.5,258.5,5,4
1493,passed,60,26803.5,26803.5,963.5,4,4
1494,failed,30,24452.5,25485.5,1033.0,5,5
1495,passed,24,26590.5,26590.5,365.5,6,4
1496,failed,32,25299.0,26310.0,1011.0,4,4
1497,failed,26,24757.5,25785.0,1027.5,2,4
1498,failed,28,23974.5,25051.0,1076.5,2,4
1499,failed,15,23878.5,25000.0,1121.5,2,4
1500,failed,49,25361.0,26439.5,1078.5,6,4
1501,passed,48,26601.5,26601.5,911.0,5,6
1502,passed,64,26759.0,26759.0,982.5,4,8
1503,passed,127,26504.5,26504.5,998.0,5,5
1504,passed,44,26512.5,26512.5,689.5,9,3
1505,failed,7,24413.0,25508.0,1095.0,1,4
1506,failed,14,25078.5,26082.5,1004.0,3,4
1507,failed,61,25193.5,26265.5,1072.0,2,5
1508,failed,68,24313.0,25459.0,1146.0,3,5
1509,failed,7,24023.5,25079.5,1056.0,1,6
1510,failed,19,24956.0,26107.5,1151.5,5,6
1511,passed,20,26602.5,26602.5,417.5,9,2
1512,passed,27,26761.5,26761.5,386.5,4,2
1513,failed,22,24411.5,25491.5,1080.0,3,4
1514,passed,29,26573.0,26573.0,550.5,3,2
1515,failed,14,23901.5,25000.0,1098.5,1,7
1516,passed,31,26560.0,26560.0,737.5,5,4
1517,failed,43,24493.0,25564.0,1071.0,3,4
1518,failed,29,24106.0,25264.0,1158.0,2,6
1519,passed,38,26559.5,26559.5,315.0,5,5
1520,passed,66,26682.5,26682.5,807.0,3,7
1521,failed,32,24851.5,25895.0,1043.5,5,4
1522,failed,25,24286.0,25304.0,1018.0,4,4
1523,failed,20,24331.5,25395.0,1063.5,2,6
1524,passed,71,27415.5,27415.5,798.5,3,9
1525,failed,41,25028.5,26189.5,1161.0,4,5
1526,failed,49,24739.0,25741.0,1002.0,4,6
1527,failed,32,24497.5,25541.5,1044.0,5,11
1528,failed,7,24313.5,25453.5,1140.0,1,6
1529,passed,45,26570.0,26570.0,822.5,5,4
1530,failed,17,24085.0,25382.5,1297.5,2,5
1531,passed,28,26703.0,26703.0,870.5,3,4
1532,failed,41,23972.0,25103.0,1131.0,2,4
1533,failed,42,24405.5,25433.5,1028.0,2,9
1534,failed,12,24245.5,25374.0,1128.5,2,3
1535,passed,12,27227.5,27227.5,782.5,4,3
1536,failed,41,24454.0,25550.0,1096.0,4,4
1537,failed,27,24455.0,25455.5,1000.5,6,7
1538,passed,72,26670.0,26670.0,923.0,4,6
1539,passed,19,26545.5,26545.5,350.0,4,3
1540,passed,23,26523.5,26523.5,791.5,4,3
1541,failed,37,24411.5,25453.5,1042.0,2,9
1542,failed,7,24474.5,25653.0,1178.5,3,4
1543,passed,21,27338.0,27338.0,504.0,6,6
1544,failed,7,24413.0,25508.0,1095.0,1,4
1545,failed,21,24315.5,25357.5,1042.0,3,7
1546,failed,8,24014.5,25150.5,1136.0,1,5
1547,failed,22,24110.5,25126.0,1015.5,2,5
1548,passed,29,26568.0,26568.0,594.5,5,4
1549,passed,60,26610.0,26610.0,852.0,4,6
1550,failed,101,24306.0,25413.0,1107.0,7,10
1551,passed,55,26597.0,26597.0,653.5,5,4
1552,passed,23,26563.0,26563.0,288.0,4,3
1553,failed,32,24917.5,26133.5,1216.0,4,6
1554,failed,44,24988.5,26181.5,1193.0,5,5
1555,failed,40,24905.0,26033.5,1128.5,4,6
1556,failed,7,23926.5,25000.0,1073.5,1,3
1557,passed,96,26554.0,26554.0,894.5,4,5
1558,failed,28,24526.0,25617.0,1091.0,3,5
1559,failed,13,23964.0,25016.0,1052.0,1,5
1560,passed,32,27243.5,27243.5,687.5,3,2
1561,failed,23,24740.5,25881.5,1141.0,3,5
1562,failed,8,24356.5,25473.0,1116.5,3,4
1563,failed,11,24018.0,25061.5,1043.5,2,5
1564,passed,38,26563.0,26563.0,518.5,4,5
1565,failed,19,24971.5,25977.5,1006.0,3,5
1566,failed,8,24933.5,26137.5,1204.0,3,2
1567,passed,46,26500.0,26500.0,826.5,6,4
1568,failed,48,24940.5,26015.5,1075.0,7,7
1569,passed,54,26771.0,26771.0,937.5,3,4
1570,failed,8,24145.5,25326.0,1180.5,2,6
1571,passed,47,26541.0,26541.0,768.0,5,8
1572,passed,49,26713.5,26713.5,418.5,5,3
1573,failed,16,23932.0,25072.0,1140.0,2,6
1574,failed,8,24294.5,25491.5,1197.0,1,5
1575,failed,26,24517.5,25580.0,1062.5,3,5
1576,failed,18,24661.5,25730.0,1068.5,3,4
1577,failed,11,24626.5,25687.5,1061.0,3,5
1578,passed,25,26608.0,26608.0,507.5,3,4
1579,passed,73,26673.5,26673.5,957.0,4,5
1580,failed,13,24108.0,25230.0,1122.0,3,3
1581,failed,51,25474.0,26493.0,1019.0,3,4
1582,failed,27,24219.0,25232.0,1013.0,2,3
1583,failed,25,24524.5,25562.5,1038.0,2,6
1584,failed,58,23975.0,25029.5,1054.5,5,4
1585,failed,31,25038.0,26125.0,1087.0,4,3
1586,failed,13,24495.5,25581.0,1085.5,3,6
1587,passed,15,26871.0,26871.0,451.0,4,2
1588,failed,36,24566.0,25613.5,1047.5,3,7
1589,failed,13,24046.5,25082.5,1036.0,2,6
1590,failed,77,24812.5,25823.0,1010.5,4,7
1591,passed,26,26521.0,26521.0,519.5,3,3
1592,failed,62,25208.5,26218.0,1009.5,5,5
1593,failed,12,24089.5,25107.5,1018.0,1,7
1594,failed,7,23940.5,25000.0,1059.5,1,3
1595,passed,57,27167.0,27167.0,523.0,4,3
1596,passed,37,26604.0,26604.0,730.5,3,4
1597,failed,24,23835.0,25000.0,1165.0,2,4
1598,passed,101,26804.0,26804.0,827.0,4,7
1599,passed,49,27221.0,27221.0,635.5,8,5
1600,passed,32,26628.5,26628.5,684.0,4,4
1601,passed,22,26501.5,26501.5,398.0,3,2
1602,failed,46,24383.5,25409.5,1026.0,2,4
1603,passed,55,26502.0,26502.0,949.0,5,6
1604,passed,26,26599.0,26599.0,809.5,4,6
1605,failed,34,24786.5,26014.0,1227.5,5,4
1606,failed,29,23932.5,25038.0,1105.5,2,3
1607,failed,67,24422.5,25681.0,1258.5,4,4
1608,failed,43,25019.0,26068.5,1049.5,6,4
1609,passed,50,26680.0,26680.0,802.5,7,3
1610,failed,43,24554.5,25753.0,1198.5,3,4
1611,passed,136,26622.0,26622.0,876.0,6,7
1612,failed,37,25005.0,26144.5,1139.5,3,3
1613,passed,85,26588.5,26588.5,835.5,4,9
1614,failed,23,24085.0,25260.5,1175.5,4,4
1615,failed,19,24716.5,25895.0,1178.5,5,4
1616,passed,56,26596.0,26596.0,667.5,5,5
1617,failed,38,24253.5,25478.0,1224.5,3,5
1618,failed,37,24336.5,25468.0,1131.5,2,7
1619,passed,44,26503.0,26503.0,507.5,6,4
1620,passed,16,26701.0,26701.0,289.5,3,3
1621,passed,59,26762.5,26762.5,789.5,3,5
1622,failed,49,24712.0,25852.0,1140.0,3,6
1623,failed,37,23990.0,25057.5,1067.5,2,5
1624,passed,65,26610.0,26610.0,699.5,5,5
1625,failed,33,24208.5,25357.0,1148.5,2,7
1626,failed,6,23907.5,25013.5,1106.0,1,5
1627,failed,41,24517.5,25641.0,1123.5,5,3
1628,passed,61,26565.0,26565.0,897.0,6,7
1629,failed,18,24332.5,25342.5,1010.0,3,3
1630,failed,15,24314.5,25428.0,1113.5,7,6
1631,passed,20,26795.0,26795.0,519.5,2,4
1632,failed,20,24328.0,25413.0,1085.0,2,5
1633,passed,77,26606.0,26606.0,904.0,6,5
1634,passed,28,26572.0,26572.0,391.5,3,2
1635,failed,55,24354.5,25506.0,1151.5,4,8
1636,passed,29,26532.0,26532.0,557.0,4,4
1637,passed,21,26505.5,26505.5,198.0,5,4
1638,failed,27,24024.5,25123.5,1099.0,2,5
1639,passed,14,26575.5,26575.5,355.5,3,2
1640,passed,22,26920.5,26920.5,580.0,4,3
1641,failed,16,24418.5,25508.0,1089.5,3,3
1642,failed,33,25120.5,26130.5,1010.0,3,4
1643,passed,39,27180.0,27180.0,350.0,4,4
1644,failed,26,24558.0,25686.5,1128.5,3,4
1645,failed,28,24694.5,25789.5,1095.0,6,4
1646,passed,16,26528.0,26528.0,491.5,3,3
1647,passed,37,26515.0,26515.0,286.5,3,4
1648,passed,10,26844.5,26844.5,257.0,4,3
1649,passed,95,26520.0,26520.0,799.5,7,9
1650,passed,7,26765.0,26765.0,217.0,3,1
1651,failed,22,24643.5,25731.5,1088.0,4,3
1652,failed,25,24639.0,25684.0,1045.0,2,6
1653,failed,7,23918.0,25000.0,1082.0,1,3
1654,passed,15,26857.5,26857.5,153.5,5,4
1655,passed,7,26570.5,26570.5,729.5,2,3
1656,failed,21,24568.5,25670.0,1101.5,5,3
1657,failed,40,24041.0,25167.5,1126.5,5,8
1658,failed,49,24387.0,25604.0,1217.0,3,4
1659,failed,10,23929.5,25000.0,1070.5,1,2
1660,passed,29,26810.5,26810.5,611.0,2,7
1661,passed,58,26599.0,26599.0,825.5,4,4
1662,failed,24,24246.0,25372.5,1126.5,3,3
1663,failed,41,24722.0,25818.5,1096.5,4,4
1664,passed,24,26555.5,26555.5,550.5,2,4
1665,failed,20,24281.5,25308.0,1026.5,1,6
1666,failed,45,24193.5,25522.0,1328.5,4,6
1667,passed,71,26672.5,26672.5,550.5,5,4
